,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
65, Bannock,16005000600,0.5758,0.8889,0.9933,0.6566,0.6801,12.204126875726663,1.6666030883789062,40.93000000000001,35.934429871822616,102.46325922353724,2876.0
66, Bannock,16005000700,0.5017,0.5488,0.8283,0.0337,0.6431,44.79598569204317,1.6666030883789062,41.950000000000045,36.048682951282885,102.19291859865194,3437.0
67, Bannock,16005000800,0.4444,0.6364,0.9259,0.0202,0.8047,17.29515180284393,1.6666030883789062,41.950000000000045,37.04127255505568,102.19673312711221,2191.0
68, Bannock,16005000900,0.1481,0.6936,0.7643,0.5455,0.8215,24.472596794654635,1.6666030883789062,41.63000000000005,34.510138360428954,102.19291859865194,1720.0
69, Bannock,16005001000,0.229,0.2963,0.2525,0.6364,0.3872,43.12826365467906,1.6666030883789062,40.85000000000002,40.07217936583059,102.19291859865194,2508.0
70, Bannock,16005001101,0.1886,0.0505,0.0909,0.3232,0.0471,30.882965398587647,1.6666030883789062,38.63000000000005,31.857340829386487,104.30889114528885,5786.0
71, Bannock,16005001102,0.6734,0.4444,0.4949,0.6061,0.202,19.595842659652224,1.6666030883789062,40.27000000000004,38.68617544087142,102.19291859865194,2946.0
72, Bannock,16005001200,0.1953,0.3603,0.1279,0.7172,0.6936,22.797132742764436,1.6666030883789062,40.63000000000005,34.736470041514394,108.43013297188695,2374.0
73, Bannock,16005001300,0.532,0.4646,0.67,0.0875,0.5185,38.07855300083301,1.6666030883789062,40.85000000000002,38.794729408474346,102.19291859865194,2223.0
74, Bannock,16005001400,0.3939,0.6162,0.2761,0.8316,0.7879,23.129991562742,1.6666030883789062,40.85000000000002,35.72207066854048,106.66456634864399,3582.0
75, Bannock,16005001500,0.0337,0.7912,0.8889,0.9966,0.734,43.3481720147959,1.6666030883789062,40.190000000000055,33.40204182330829,119.05554001551137,4183.0
76, Bannock,16005001601,0.7912,0.8754,0.963,0.3165,0.8653,18.894325785334868,1.6666030883789062,41.950000000000045,29.813643483125148,102.19291859865194,2018.0
77, Bannock,16005001602,0.4512,0.5926,0.2323,0.734,0.7811,38.015503910522334,1.6666030883789062,38.63000000000005,26.52671607135947,102.37794038344038,3019.0
78, Bannock,16005001603,0.3838,0.5623,0.9461,0.0976,0.4781,17.91444391964064,1.6666030883789062,41.950000000000045,35.47865643629946,102.20674622392488,2089.0
79, Bannock,16005001700,0.0673,0.0067,0.0269,0.0808,0.0236,44.78318661531078,0.0,37.59000000000003,33.65658141041112,102.85389074052782,2714.0
80, Bannock,16005001900,0.1684,0.5118,0.5488,0.862,0.4242,59.2855496712554,0.0,39.150000000000034,27.227841024618424,113.96884982447799,4016.0
81, Bannock,16005940000,0.6465,0.6869,0.404,0.4444,0.8148,56.56672978646064,1.6666030883789062,42.650000000000034,30.75844470583334,,1640.0
82, Bannock,16005981800,0.7138,0.6633,0.7239,0.0741,0.7677,70.74518425523387,1.6666030883789062,36.99000000000001,23.66192798725377,,252.0
83, Bear Lake,16007950100,0.2727,0.5017,0.5657,0.8249,0.3535,47.40749721486563,0.0,36.670000000000016,28.566065226751597,72.40869016822533,3175.0
84, Bear Lake,16007950200,0.0539,0.0606,0.0741,0.4242,0.1279,67.1897659094102,0.0,33.13000000000005,25.575480070092546,76.48205990844444,2353.0
85, Benewah,16009940000,0.5657,0.8148,0.6902,0.9057,0.7677,90.22556810847428,0.0,38.89000000000004,31.43499524697281,,3833.0
86, Benewah,16009950100,0.0135,0.7239,0.9731,0.7946,0.6128,96.53333674034457,0.0,36.650000000000034,29.34308115970156,347.1002910411881,4106.0
87, Bingham,16011940000,0.7104,0.9697,0.9158,0.9461,0.9832,50.23158463822526,0.0,43.63000000000005,34.28092681757907,,2279.0
88, Bingham,16011950100,0.5926,0.4983,0.4882,0.3333,0.4512,89.79711260400727,0.0,38.23000000000002,33.13165737908076,144.46528338490754,6345.0
89, Bingham,16011950200,0.5421,0.4916,0.2929,0.6195,0.5387,70.0736101240126,0.0,39.29000000000002,28.385106576901503,132.89876887853677,3017.0
90, Bingham,16011950300,0.9394,0.7879,0.6633,0.6801,0.6195,30.159534058706832,0.0,44.27000000000004,35.94385236924941,136.7759911157805,4631.0
91, Bingham,16011950400,0.7374,0.7138,0.6061,0.8788,0.4007,88.61984413212177,0.0,38.49000000000001,34.03583955200909,120.9877302985941,5355.0
92, Bingham,16011950500,0.7306,0.8788,0.9394,0.8519,0.6835,83.60899644251705,0.0,36.03000000000003,32.03348936801199,121.78539265799404,6032.0
93, Bingham,16011950600,0.7845,0.6431,0.6195,0.2795,0.5657,84.067271282018,0.0,38.51000000000005,33.10197704457014,124.85025069382563,4268.0
94, Bingham,16011950700,0.9024,0.5522,0.2424,0.3603,0.5522,87.72997795959154,0.0,38.63000000000005,33.332780147834555,142.14120908963588,3755.0
95, Blaine,16013960100,0.7239,0.4276,0.5455,0.2323,0.2593,8.932990627080958,0.0,49.410000000000025,31.828426186340177,178.23622306957932,3815.0
