,COUNTY,FIPS,Minority Status and Language,Overall Vulnerability,Housing Type and Transportation,Household Composition and Disability ,Socioencomic Status,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
94,Lewis County,16061940002,0.067,0.2963,0.562,0.218,0.4512,84.87771653630746,0.0,42.07000000000005,35.493399732610136,,1761.0
95,Madison County,16065950200,0.518,0.6936,0.936,0.033,0.7205,39.31881084772485,0.0,31.83000000000004,30.981971917913945,171.1002043968642,2076.0
96,Nez Perce County,16069960400,0.181,0.2929,0.558,0.124,0.4242,51.24633431085034,0.41905784606933594,41.55000000000001,39.79787533978127,,2738.0
97,Owyhee County,16073950200,0.882,0.9192,0.872,0.555,0.9192,7.639047908027555,0.0,56.870000000000005,46.42076734387464,178.28271954236138,3097.0
98,Power County,16077960100,0.653,0.4377,0.303,0.505,0.3906,33.20549310486217,1.3044404983520508,48.99000000000001,39.87267172952881,,1342.0
99,Twin Falls County,16083000300,0.757,0.3569,0.181,0.407,0.33,76.95975577703325,0.0,45.01000000000005,33.53154434802222,,3817.0
100,Twin Falls County,16083000400,0.855,0.8586,0.629,0.919,0.7845,73.38605720061535,0.0,34.13000000000005,32.6518581263499,,3133.0
101,Twin Falls County,16083000500,0.521,0.6061,0.205,0.542,0.8956,86.01630318260864,0.0,35.55000000000001,32.125652269385384,,4107.0
102,Twin Falls County,16083000700,0.683,0.5859,0.525,0.67,0.4276,65.7593590856995,0.9429302215576154,39.650000000000034,34.21176645151436,,7599.0
103,Twin Falls County,16083001100,0.777,0.8721,0.942,0.252,0.8384,18.842078298208843,0.9429302215576154,40.29000000000002,39.61987190848307,,2629.0
104,Twin Falls County,16083001500,0.7,0.3064,0.101,0.178,0.5825,11.841376613290096,0.0,52.370000000000005,42.75959242776402,,1943.0
105,Valley County,16085970100,0.08,0.2727,0.592,0.158,0.4209,65.113780793402,0.0,45.910000000000025,31.576741096698967,444.32522985265825,1759.0
