COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioeconomic Status,Household Composition and Disability,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Population,Area,PM-2-5,Heatwave,Density_Population,Year
Adams,16003950200,0.6149,0.6263,0.7601,0.8215,0.0168,59.60030094611079,0.0,61.47000000000003,37.123141546662815,1187.627463526169,2397.0,2527.348791,2226.6072788544693,121494.0,0.9484246925219908,2017
Bannock,16005000200,0.0743,0.064,0.0574,0.6263,0.1886,60.71888134830571,3.0222425460815447,56.79000000000002,35.81553539748266,540.3271769382957,3831.0,368.4860819,1796.2135969573785,49082.0,10.39659348935643,2017
Bannock,16005000300,0.723,0.8451,0.6081,0.5926,0.4411,28.34679589488524,3.0222425460815447,52.07000000000005,38.447879340226045,532.6905958652496,9426.0,11.13384374,2622.874118190316,261846.0,846.607893923972,2017
Bannock,16005000400,0.1284,0.0404,0.2365,0.3838,0.5421,32.59212804164725,3.0222425460815447,49.670000000000016,37.20777908572501,532.6905958652496,5739.0,10.40404272,2755.689323826736,162759.0,551.61249856921,2017
Bannock,16005000500,0.0338,0.1212,0.1182,0.1246,0.0673,72.89637401273288,3.0222425460815447,49.07000000000005,34.952610422369524,532.7705949873937,1966.0,23.09869194,2755.5081593168666,51601.0,85.11304471728454,2017
Bannock,16005000600,0.7872,0.9798,0.7196,0.4613,0.3603,4.539137949844712,3.0222425460815447,55.57000000000005,42.03367898950873,536.1863099194403,3811.0,35.04099857,2374.788763247476,80310.0,108.75831613037276,2017
Bannock,16005000700,0.4764,0.7104,0.6149,0.0236,0.6195,16.70199495522534,3.0222425460815447,53.170000000000016,42.72202843203191,533.3241616487505,4512.0,3.943174272,2544.559111587617,130389.0,1144.2557921010905,2017
Bannock,16005000800,0.7466,0.9529,0.8412,0.1279,0.3906,5.741536597897802,3.0222425460815447,51.93000000000001,42.57513222385929,533.3645467963428,3017.0,3.799812366,2626.614945603096,92555.0,793.9865733886082,2017
Bannock,16005000900,0.8243,0.7508,0.9797,0.7205,0.1785,2.2830006854962903,3.0222425460815447,51.93000000000001,43.65084003172182,533.3241616487505,2358.0,1.041011657,2884.7986817037126,74642.0,2265.104318615713,2017
Bannock,16005001000,0.3277,0.3131,0.5878,0.2694,0.1953,7.999782291080219,3.0222425460815447,50.57000000000005,42.89193855411264,533.3241616487503,3288.0,1.520007479,2661.9240050908597,97178.0,2163.147251198492,2017
Bannock,16005001101,0.1689,0.1953,0.0845,0.4848,0.5084,20.190619122130645,3.0222425460815447,52.870000000000005,41.60419203858091,533.2628822284624,7778.0,9.937316116,2545.618732974837,209069.0,782.7063071362597,2017
Bannock,16005001102,0.5878,0.5455,0.5135,0.3939,0.6566,8.99297367040298,3.0222425460815447,52.650000000000034,42.27197990230111,533.3241616487503,3831.0,5.537662319,2511.394502082283,114410.0,691.8081636822898,2017
Bannock,16005001200,0.4291,0.1886,0.7095,0.771,0.2088,7.636720571710274,3.0222425460815447,52.150000000000034,42.96385543791266,533.1351077959564,3194.0,2.908906341,2810.466095936155,98511.0,1098.0071633732946,2017
