,COUNTY,FIPS,RPL_THEME3,RPL_THEMES,RPL_THEME4,RPL_THEME2,RPL_THEME1,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
54,Ada,16001002316,0.7407,0.6747,0.6989,0.7429,0.4418,52.00322630535177,,34.75000000000006,34.23247503373824,,1503.0
55,Ada,16001002317,0.7363,0.5846,0.4308,0.7077,0.5297,49.99499036381745,,34.75000000000006,34.31043848964685,,1947.0
56,Ada,16001002318,0.7473,0.7473,0.7516,0.633,0.6615,53.836564552282695,,34.410000000000025,34.1588744412841,,2908.0
57,Ada,16001002319,0.8088,0.8527,0.7319,0.7714,0.7846,19.86263750673442,,35.33000000000004,34.78798516816382,,2200.0
58,Ada,16001002412,0.3011,0.5758,0.8571,0.5099,0.3736,53.41748708516575,,33.29000000000002,31.27703717506757,236.54330316362822,2185.0
59,Ada,16001002414,0.611,0.578,0.7187,0.3253,0.5231,65.36890299270698,,33.870000000000005,33.84681020733653,,1835.0
60,Ada,16001002415,0.578,0.1407,0.0549,0.4593,0.1758,73.41823424550681,,33.870000000000005,33.300756023262274,,1619.0
61,Ada,16001002416,0.7121,0.5341,0.3604,0.811,0.4571,80.66596229469599,,33.870000000000005,33.57927839223095,,3659.0
62,Ada,16001002417,0.7253,0.2967,0.4901,0.5275,0.044,73.54685962065386,,33.09000000000003,32.62454489019946,,1823.0
63,Ada,16001002418,0.3626,0.1758,0.3011,0.0967,0.2659,69.21363933643516,,33.870000000000005,33.64963768744043,,2395.0
64,Ada,16001002419,0.1187,0.3516,0.3934,0.2923,0.5121,68.5773870481321,,33.53000000000003,32.329638724245015,,2286.0
65,Ada,16001010101,0.5978,0.1956,0.3538,0.4945,0.0154,34.50488983724385,,38.89000000000004,32.89881687858481,,1384.0
66,Ada,16001010102,0.2132,0.0154,0.0,0.1736,0.0462,15.968802266988776,,39.950000000000045,36.62530804092106,,2370.0
67,Ada,16001010224,0.1582,0.0264,0.0374,0.2593,0.0484,93.5193291864263,,35.670000000000016,32.3026370776527,,2864.0
68,Ada,16001010226,0.3077,0.1143,0.2022,0.1209,0.211,64.34079569004385,,34.21000000000004,32.69549858148579,,901.0
69,Ada,16001010227,0.0901,0.0637,0.0571,0.1429,0.2593,49.528723611844015,,34.31,33.04958792107278,,1815.0
