,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Smoke,LST-Max,LST-Mean,Popultatuion
143,Canyon,16027021902,0.716,0.6523,0.698,0.3333,0.9175,59.29399270588311,,52.110000000000014,39.14895218861741,7781.0
144,Canyon,16027022100,0.917,0.663,0.853,0.9068,0.8028,81.3065330400619,,46.93000000000001,35.079925924095264,2847.0
145,Canyon,16027022200,0.896,0.5663,0.903,0.6559,0.9892,81.26235034991583,,38.51000000000005,35.31791641833034,2790.0
146,Canyon,16027022300,0.491,0.4659,0.232,0.3297,0.9247,62.52527346519982,,42.99000000000001,36.03160191231065,3737.0
147,Canyon,16027022400,0.2,0.1505,0.225,0.1397,0.6702,75.65964026874678,,41.05000000000001,34.98760041328133,2680.0
148,Caribou,16029960100,0.551,0.7096,0.419,0.6236,0.362,76.28281663598713,,47.97000000000003,34.44598022499535,3597.0
149,Caribou,16029960200,0.336,0.4802,0.222,0.7096,0.1648,90.8273877642662,,44.39000000000004,31.51990962205786,2614.0
150,Cassia,16031950100,0.462,0.3512,0.412,0.344,0.7992,23.93309115385166,,54.650000000000034,38.37024174553908,2400.0
151,Cassia,16031950200,0.562,0.3082,0.745,0.3082,0.7777,83.41689212342457,,50.150000000000034,32.6287048477078,2661.0
152,Cassia,16031950300,0.727,0.7383,0.286,0.7921,0.7921,91.88091123499191,,41.150000000000034,33.52305751622154,3964.0
153,Cassia,16031950400,1.0,0.9928,0.982,1.0,0.939,47.98013917332735,,36.39000000000004,32.337706049345684,3554.0
154,Cassia,16031950500,0.559,0.5698,0.132,0.706,0.7275,85.54518984718102,,36.63000000000005,30.723049685538506,4204.0
155,Cassia,16031950600,0.566,0.5125,0.422,0.3405,0.8817,34.13998941908369,,53.39000000000004,36.92197095500443,1989.0
156,Clark,16033950100,0.96,0.7132,0.971,0.8315,0.9928,32.790817964972,,49.63000000000005,35.74892984296851,864.0
157,Clearwater,16035970100,0.44,0.2043,0.953,0.6129,0.0788,98.11646423241211,,41.410000000000025,24.74073059812825,2623.0
158,Clearwater,16035970200,0.885,0.8207,0.87,0.8064,0.5197,89.54219856773568,,44.71000000000004,36.54512330920719,5235.0
159,Custer,16037990200,0.569,0.5555,0.82,0.3835,0.4014,18.88638669532632,,47.79000000000002,26.03021170852524,3748.0
160,Elmore,16039980100,0.953,0.896,0.956,0.6451,0.9749,44.26485124850548,,55.09000000000003,33.048877838546126,2592.0
161,Elmore,16039980200,0.383,0.1756,0.501,0.3046,0.6989,7.674055704845485,,55.09000000000003,39.84144730125509,8283.0
162,Elmore,16039980300,0.892,0.8566,0.594,0.7311,0.853,5.323831020705052,,52.150000000000034,46.622401645021405,3536.0
163,Elmore,16039980400,0.888,0.9032,0.648,0.5412,0.9318,15.594874674030452,,55.23000000000002,44.96911709357102,7635.0
164,Elmore,16039980500,0.265,0.3333,0.505,0.0322,0.534,8.185158007468027,,50.47000000000003,47.05834540692639,3007.0
165,Franklin,16041970100,0.523,0.3799,0.691,0.5734,0.3978,71.38586767317119,,44.31,36.05844090431669,4673.0
166,Franklin,16041970200,0.333,0.2508,0.559,0.2365,0.5161,86.26064568002299,,45.670000000000016,34.32569915395657,5262.0
167,Fremont,16043970100,0.057,0.1433,0.311,0.1756,0.0286,76.4831512423279,,47.71000000000004,31.02318044040672,1159.0
168,Fremont,16043970200,0.831,0.6559,0.817,0.5483,0.853,94.30691032106378,,41.83000000000004,31.83088028032836,2827.0
169,Fremont,16043970300,0.792,0.8781,0.666,0.5197,0.7168,89.85968577467288,,43.910000000000025,34.76099827122461,6163.0
170,Gem,16045960100,0.254,0.1182,0.498,0.3763,0.3906,32.86738952938152,,51.47000000000003,37.60861269353647,3418.0
171,Gem,16045960200,0.749,0.5913,0.508,0.8888,0.681,43.43604050924441,,50.73000000000002,39.32432012879431,4374.0
172,Gem,16045960300,0.813,0.7956,0.623,0.8207,0.6093,66.9131015867706,,41.950000000000045,35.83645364529803,5405.0
173,Gooding,16047960100,0.942,0.8853,0.774,0.9283,0.8207,20.33370790737717,,52.63000000000005,41.21985807376044,5978.0
